nodeName	altName	nodeAttr[nodesPresent, ]
AC104135.1	NA	blue
SIK1	NA	blue
SDS	NA	blue
SH3GL1P2	NA	blue
CRYAA	NA	blue
EGR3	NA	blue
AC017091.1	NA	blue
RPL31P12	NA	blue
U2AF1L5	NA	blue
AC093525.6	NA	blue
GDF15	NA	blue
IL6	NA	blue
EGR2	NA	blue
CHRND	NA	blue
EGR1	NA	blue
GPX1P1	NA	blue
FOS	NA	blue
RNVU1-19	NA	blue
LINC00431	NA	blue
CXCL8	NA	blue
FOSB	NA	blue
PCK1	NA	blue
LINC00322	NA	blue
RHOXF1	NA	blue
AP001046.1	NA	blue
CXCL2	NA	blue
PRSS56	NA	blue
RPL10P6	NA	blue
AC012414.3	NA	blue
RPL10P9	NA	blue
AC009041.1	NA	blue
NSFP1	NA	blue
AC009975.1	NA	blue
BTG2	NA	blue
FOSL1	NA	blue
AC104695.4	NA	blue
MIR7853	NA	blue
MAFF	NA	blue
GOLGA6L4	NA	blue
C12orf77	NA	blue
LUCAT1	NA	blue
ATF3	NA	blue
AGAP7P	NA	blue
AC105924.1	NA	blue
HLA-DRB6	NA	blue
OR2B8P	NA	blue
TBC1D3D	NA	blue
CCN1	NA	blue
LINC01402	NA	blue
AC004980.4	NA	blue
C1DP1	NA	blue
KRTAP10-3	NA	blue
GALR1	NA	blue
AC025280.1	NA	blue
CA9	NA	blue
E2F7	NA	blue
KLK11	NA	blue
AC131025.2	NA	blue
OR5AC2	NA	blue
TBC1D3	NA	blue
HIF1A-AS2	NA	blue
AC123768.4	NA	blue
GPRC5A	NA	blue
KRT17P2	NA	blue
GADD45B	NA	blue
ANGPTL4	NA	blue
FP475955.4	NA	blue
OR5AC1	NA	blue
AC004264.1	NA	blue
LINC00887	NA	blue
IL1B	NA	blue
NUTM2E	NA	blue
LINC01348	NA	blue
AC018630.1	NA	blue
AC068446.2	NA	blue
RPS3AP33	NA	blue
AC093525.4	NA	blue
PLA2G2A	NA	blue
CLEC4GP1	NA	blue
DPPA5P4	NA	blue
AL138900.2	NA	blue
LIF	NA	blue
OR5AC4P	NA	blue
AC026704.1	NA	blue
AL773545.3	NA	blue
GJA5	NA	blue
RNVU1-18	NA	blue
JUNB	NA	blue
NR4A3	NA	blue
RNA5-8SN4	NA	blue
AL022324.1	NA	blue
AC133555.1	NA	blue
HMGCS2	NA	blue
ZFP36	NA	blue
RASA4DP	NA	blue
LINC01679	NA	blue
LINC00602	NA	blue
AL713965.1	NA	blue
AL731566.2	NA	blue
AC243562.1	NA	blue
LRRC53	NA	blue
LINC02274	NA	blue
FP565260.3	NA	blue
PAX8-AS1	NA	blue
ADM	NA	blue
NR4A1	NA	blue
FEM1AP1	NA	blue
LAMC2	NA	blue
AL031587.1	NA	blue
AGAP14P	NA	blue
MIR3189	NA	blue
SIK1B	NA	blue
AL049833.2	NA	blue
AC009065.2	NA	blue
AC114954.1	NA	blue
AL161773.1	NA	blue
AL049833.1	NA	blue
AL133351.1	NA	blue
AL109946.1	NA	blue
MIR548AG2	NA	blue
LINC01060	NA	blue
AL358216.1	NA	blue
VIP	NA	blue
AL162724.2	NA	blue
LINC00315	NA	blue
KRTAP10-5	NA	blue
AL592301.1	NA	blue
BCL2A1	NA	blue
CCL3L1	NA	blue
AP001631.1	NA	blue
NLRP2	NA	blue
CU633906.2	NA	blue
TRIM63	NA	blue
TAS2R43	NA	blue
PRND	NA	blue
AL139082.1	NA	blue
RNU6-212P	NA	blue
AL358215.2	NA	blue
DUSP1	NA	blue
IL6R-AS1	NA	blue
RNVU1-6	NA	blue
LINC02109	NA	blue
Z97192.3	NA	blue
MTCO3P39	NA	blue
RF02105	NA	blue
CPN2	NA	blue
RNU5F-1	NA	blue
AC087235.2	NA	blue
AC135983.3	NA	blue
NPIPB8	NA	blue
IER3	NA	blue
AC022517.1	NA	blue
TNFRSF18	NA	blue
SLCO4A1-AS1	NA	blue
CSNK1A1P1	NA	blue
MIR6823	NA	blue
APCS	NA	blue
LINC00645	NA	blue
DUXB	NA	blue
BX537318.2	NA	blue
LILRA5	NA	blue
CU638689.4	NA	blue
AC022710.1	NA	blue
ARC	NA	blue
AP002008.2	NA	blue
AC136475.5	NA	blue
AC136475.9	NA	blue
HNF4A	NA	blue
CCNB2P1	NA	blue
