nodeName	altName	nodeAttr[nodesPresent, ]
AP000350.6	NA	brown
CYP4F24P	NA	brown
AC253536.6	NA	brown
OVCH2	NA	brown
OR5P1P	NA	brown
OPTC	NA	brown
LTF	NA	brown
AC012501.1	NA	brown
AC044810.2	NA	brown
OR5P3	NA	brown
AC104237.3	NA	brown
OR5P2	NA	brown
PLVAP	NA	brown
LPAR3	NA	brown
SCNN1A	NA	brown
AC104237.2	NA	brown
CXCL10	NA	brown
MXRA5	NA	brown
H19	NA	brown
MYOC	NA	brown
IGHG1	NA	brown
SLPI	NA	brown
IGKC	NA	brown
CLEC12A	NA	brown
DDTL	NA	brown
IGHA1	NA	brown
TYR	NA	brown
HAS2	NA	brown
CHI3L2	NA	brown
FOLR2	NA	brown
CYB5R2	NA	brown
MMP19	NA	brown
CPXM1	NA	brown
PLEKHS1	NA	brown
LEFTY2	NA	brown
CHMP4C	NA	brown
HLA-DQA1	NA	brown
PMEL	NA	brown
BARX2	NA	brown
TNFRSF11B	NA	brown
SLC34A2	NA	brown
MKI67	NA	brown
BEST2	NA	brown
TNXA	NA	brown
CD209	NA	brown
RFX4	NA	brown
GSX2	NA	brown
MLANA	NA	brown
PRSS33	NA	brown
RNASE2	NA	brown
TNFSF14	NA	brown
CWH43	NA	brown
AC060834.1	NA	brown
SCNN1B	NA	brown
AC012400.1	NA	brown
CD69	NA	brown
LRRC8E	NA	brown
SELP	NA	brown
HLA-DQB1	NA	brown
SULT1C2	NA	brown
C1orf87	NA	brown
CR769776.2	NA	brown
CLEC19A	NA	brown
ADGRE1	NA	brown
CD48	NA	brown
AC092813.1	NA	brown
EMX2	NA	brown
MYOT	NA	brown
VNN2	NA	brown
TACSTD2	NA	brown
BMP5	NA	brown
AC243772.3	NA	brown
FGFBP2	NA	brown
CCR2	NA	brown
AC139495.3	NA	brown
FST	NA	brown
LILRA4	NA	brown
HIST1H3F	NA	brown
VNN1	NA	brown
TMEM155	NA	brown
LINC01440	NA	brown
TNFRSF8	NA	brown
AC116096.1	NA	brown
DNAH11	NA	brown
ASCL2	NA	brown
COL13A1	NA	brown
CD38	NA	brown
AL031056.1	NA	brown
