nodeName	altName	nodeAttr[nodesPresent, ]
USP9Y	NA	green
KDM5D	NA	green
UTY	NA	green
DDX3Y	NA	green
TXLNGY	NA	green
RPS4Y1	NA	green
XIST	NA	green
ZFY	NA	green
EIF1AY	NA	green
NLGN4Y	NA	green
TTTY14	NA	green
PCDH11Y	NA	green
TTTY10	NA	green
AC010889.1	NA	green
GYG2P1	NA	green
ANOS2P	NA	green
PRKY	NA	green
TMSB4Y	NA	green
AGKP1	NA	green
AC009977.1	NA	green
KDM5DP1	NA	green
SHROOM2P1	NA	green
AC006157.1	NA	green
NAP1L1P2	NA	green
FAM9B	NA	green
ARSFP1	NA	green
LINC00278	NA	green
CD24P4	NA	green
U2AF1	NA	green
BCORP1	NA	green
LINC02608	NA	green
EIF2S3B	NA	green
PPP1R2C	NA	green
HIGD1AP11	NA	green
AL672277.1	NA	green
AP001056.1	NA	green
AC091979.1	NA	green
CCL3	NA	green
TSIX	NA	green
AC025437.2	NA	green
AC025437.1	NA	green
AC134878.2	NA	green
AC233266.2	NA	green
TBL1Y	NA	green
RNU6-255P	NA	green
HSFY2	NA	green
AC002076.2	NA	green
CRISP2	NA	green
AL445183.1	NA	green
AC092447.7	NA	green
NUP210L	NA	green
OMD	NA	green
AC092423.1	NA	green
POU2F3	NA	green
LINC01597	NA	green
AL391516.1	NA	green
AC073551.1	NA	green
LINC02315	NA	green
WDR45BP1	NA	green
LDHC	NA	green
LMO7-AS1	NA	green
GNRHR	NA	green
RASA4B	NA	green
DDX43	NA	green
AC026468.1	NA	green
MMP8	NA	green
TAB3P1	NA	green
LINC01850	NA	green
MIR30D	NA	green
AC114757.1	NA	green
AC084880.3	NA	green
AC064836.2	NA	green
AC126696.3	NA	green
OOEP	NA	green
AC127502.3	NA	green
ZBP1	NA	green
AC246785.3	NA	green
FAM242A	NA	green
RPL30P14	NA	green
AL139400.1	NA	green
ABCB11	NA	green
AC073107.2	NA	green
AC008147.1	NA	green
CYP26A1	NA	green
CDY10P	NA	green
LINC01167	NA	green
AL117190.3	NA	green
SLC14A1	NA	green
ANKRD20A21P	NA	green
RNU2-57P	NA	green
POLRMTP1	NA	green
AC097262.1	NA	green
CD164L2	NA	green
AL391647.1	NA	green
AC005972.3	NA	green
LKAAEAR1	NA	green
FAM177A1P1	NA	green
FRG1EP	NA	green
AL139396.1	NA	green
CCDC200	NA	green
AC124248.1	NA	green
AC005062.1	NA	green
AC068987.2	NA	green
AC106798.1	NA	green
EXOSC3P2	NA	green
TSPEAR-AS1	NA	green
AC110995.1	NA	green
TPTE2P4	NA	green
NAP1L1P1	NA	green
AL080313.1	NA	green
RN7SKP43	NA	green
KRT86	NA	green
