nodeName	altName	nodeAttr[nodesPresent, ]
C20orf141	NA	red
TMEM239	NA	red
CHI3L1	NA	red
HSPA6	NA	red
ITK	NA	red
MC5R	NA	red
LINC02605	NA	red
HP	NA	red
AQP9	NA	red
HABP2	NA	red
SERPINE1	NA	red
MYBPH	NA	red
LRRC15	NA	red
NRAP	NA	red
SOCS3	NA	red
AC007336.2	NA	red
AC061992.1	NA	red
S100A8	NA	red
CCL4	NA	red
MMP2-AS1	NA	red
SPOCD1	NA	red
APOD	NA	red
AREG	NA	red
ANO3	NA	red
HNRNPKP3	NA	red
CCL2	NA	red
S100A9	NA	red
SLCO1B1	NA	red
AL133330.1	NA	red
CCL4L2	NA	red
IL1RN	NA	red
AC245100.2	NA	red
AP000777.2	NA	red
FCAR	NA	red
AC092756.1	NA	red
AC093281.2	NA	red
LINC01993	NA	red
NLRC5	NA	red
AC024145.1	NA	red
SOCS1	NA	red
ICAM1	NA	red
PCDH12	NA	red
SMPD5	NA	red
BX640514.2	NA	red
FP475955.1	NA	red
SLC5A12	NA	red
CXCL5	NA	red
MIR4731	NA	red
RN7SL399P	NA	red
FOXC2	NA	red
AC078845.1	NA	red
LNCTAM34A	NA	red
APLN	NA	red
SERPINA3	NA	red
OSM	NA	red
POM121L9P	NA	red
RNU1-13P	NA	red
CBLC	NA	red
IL4I1	NA	red
MIR378G	NA	red
BDKRB2	NA	red
AC245128.3	NA	red
TCTEX1D4	NA	red
TIFAB	NA	red
