nodeName	altName	nodeAttr[nodesPresent, ]
AC017099.1	NA	yellow
CRYAA2	NA	yellow
PPIAP76	NA	yellow
IL1RL1	NA	yellow
AC105046.1	NA	yellow
AC023442.3	NA	yellow
AC122129.1	NA	yellow
AL353604.1	NA	yellow
LINC01987	NA	yellow
AL160408.6	NA	yellow
LINC01219	NA	yellow
LINC00620	NA	yellow
AC093106.1	NA	yellow
RNU6-315P	NA	yellow
CCDC187	NA	yellow
LINC02656	NA	yellow
SLX1A	NA	yellow
AC116609.3	NA	yellow
AC010319.2	NA	yellow
VDAC1P4	NA	yellow
AC027338.1	NA	yellow
LINC01499	NA	yellow
OR9K1P	NA	yellow
AP000350.2	NA	yellow
RETNLB	NA	yellow
AC027801.1	NA	yellow
RNU6-227P	NA	yellow
AL035696.1	NA	yellow
AP002991.1	NA	yellow
LINC02649	NA	yellow
AC078922.1	NA	yellow
LINC01363	NA	yellow
GUCY2C	NA	yellow
Z69666.1	NA	yellow
AC117383.1	NA	yellow
AL050403.1	NA	yellow
RYKP1	NA	yellow
GPR151	NA	yellow
AC069528.2	NA	yellow
LINC02288	NA	yellow
DNAH17-AS1	NA	yellow
AL161757.2	NA	yellow
LINC02677	NA	yellow
F11	NA	yellow
ADAMTS4	NA	yellow
MUC5B-AS1	NA	yellow
HLA-DOB	NA	yellow
AC023442.1	NA	yellow
AL049781.1	NA	yellow
TRPC5OS	NA	yellow
VN2R3P	NA	yellow
AL117372.1	NA	yellow
MYEOV	NA	yellow
NEURL3	NA	yellow
PRKAG3	NA	yellow
FABP9	NA	yellow
AF064858.2	NA	yellow
AC006974.2	NA	yellow
RNU6ATAC19P	NA	yellow
LINC02678	NA	yellow
RN7SKP126	NA	yellow
RN7SL787P	NA	yellow
BX322557.1	NA	yellow
AL354793.1	NA	yellow
NPM1P29	NA	yellow
SLC25A2	NA	yellow
AC004941.1	NA	yellow
ZNF32-AS1	NA	yellow
CUL1P1	NA	yellow
AL591926.4	NA	yellow
AL162171.3	NA	yellow
COL4A2-AS1	NA	yellow
AC011379.2	NA	yellow
OIT3	NA	yellow
AL161798.1	NA	yellow
ADAMTS9	NA	yellow
AL353803.5	NA	yellow
LINC01819	NA	yellow
GALR3	NA	yellow
AC027309.1	NA	yellow
AL162431.4	NA	yellow
ELOCP21	NA	yellow
AC005776.2	NA	yellow
TMEM92-AS1	NA	yellow
LINC01397	NA	yellow
AF067845.1	NA	yellow
AL157938.2	NA	yellow
PCCA-AS1	NA	yellow
Z82198.1	NA	yellow
AC011405.1	NA	yellow
RNA5SP496	NA	yellow
SIGLEC1	NA	yellow
LINC00596	NA	yellow
LINC01056	NA	yellow
AC108039.1	NA	yellow
AC024257.5	NA	yellow
AC131934.1	NA	yellow
AL137024.1	NA	yellow
ITPRIP-AS1	NA	yellow
AC005544.1	NA	yellow
RSL24D1P6	NA	yellow
AC007218.2	NA	yellow
AC093157.2	NA	yellow
LINC01310	NA	yellow
AL513331.1	NA	yellow
AC020634.1	NA	yellow
KRT8P7	NA	yellow
AP005233.2	NA	yellow
AC012456.1	NA	yellow
AC073314.1	NA	yellow
AC026401.1	NA	yellow
BX293995.1	NA	yellow
Z83836.1	NA	yellow
RPL12P7	NA	yellow
AC010928.1	NA	yellow
CSNKA2IP	NA	yellow
AC106872.4	NA	yellow
LINC02594	NA	yellow
AC083805.2	NA	yellow
AL121890.1	NA	yellow
AP000997.3	NA	yellow
AC022001.1	NA	yellow
AC008655.1	NA	yellow
UBL4B	NA	yellow
GOLGA6C	NA	yellow
MEF2BNBP1	NA	yellow
AC005412.1	NA	yellow
OR7E22P	NA	yellow
VN1R17P	NA	yellow
RNU4-22P	NA	yellow
EI24P3	NA	yellow
AC011451.2	NA	yellow
DPRXP1	NA	yellow
SERPINE3	NA	yellow
LINC00385	NA	yellow
ATP6V1B1-AS1	NA	yellow
RN7SL753P	NA	yellow
RPS23P1	NA	yellow
MRPL40P1	NA	yellow
AP000695.2	NA	yellow
NPM1P12	NA	yellow
AL109811.3	NA	yellow
AC007879.3	NA	yellow
DNAJB8-AS1	NA	yellow
AL139124.1	NA	yellow
AMD1P1	NA	yellow
LINC01799	NA	yellow
AC012377.1	NA	yellow
AC100835.2	NA	yellow
Z99127.2	NA	yellow
AC073263.2	NA	yellow
AC100830.1	NA	yellow
AC093585.1	NA	yellow
PHBP8	NA	yellow
RPL23AP81	NA	yellow
RN7SL260P	NA	yellow
AC002094.1	NA	yellow
IFNL4	NA	yellow
RNA5SP393	NA	yellow
AL590822.2	NA	yellow
LINC02048	NA	yellow
