Gene	corr	p.value	p.adj	Module
AC104135.1	-0.188269265686859	0.0965937166581299	1	MEblue
SIK1	0.576608584707712	2.67864897857551e-08	1.40093341579499e-05	MEblue
SDS	0.824213799262273	1.05200134717497e-20	6.0384877327843e-18	MEblue
SH3GL1P2	0.273819741557127	0.0146128340756174	1	MEblue
CRYAA	0.114389448606502	0.315470372208493	1	MEblue
EGR3	0.827311516838313	5.64339886015019e-21	3.25624114230666e-18	MEblue
AC017091.1	0.345309258006104	0.00182873488045479	0.736980156823278	MEblue
RPL31P12	-0.139229126446632	0.221049809538626	1	MEblue
U2AF1L5	0.160487838019215	0.157688874131134	1	MEblue
AC093525.6	0.0760278403079442	0.505446815045243	1	MEblue
GDF15	0.860611807043683	2.85115271206343e-24	1.67077548926917e-21	MEblue
IL6	0.829148400800495	3.87797537838444e-21	2.24534774408459e-18	MEblue
EGR2	0.773842615350946	6.20965803342842e-17	3.46498918265306e-14	MEblue
CHRND	0.828263768667457	4.64851760813473e-21	2.68684317750188e-18	MEblue
EGR1	0.794158261510461	2.50547928341767e-18	1.41058483656415e-15	MEblue
GPX1P1	0.275303218653315	0.0140650305659443	1	MEblue
FOS	0.805722727780537	3.41577320791881e-19	1.93332763568204e-16	MEblue
RNVU1-19	0.515089496401794	1.19164122010453e-06	0.0006053537398131	MEblue
LINC00431	-0.150744219035928	0.18481329539948	1	MEblue
CXCL8	0.739236831927811	7.30030589949001e-15	4.02976885651849e-12	MEblue
FOSB	0.773605914639285	6.43360689274415e-17	3.58351903925849e-14	MEblue
PCK1	0.824650608443346	9.64268220926727e-21	5.54454227032868e-18	MEblue
LINC00322	0.845273205248681	1.17415656146222e-22	6.84533275332475e-20	MEblue
RHOXF1	0.142094328326268	0.211598881802243	1	MEblue
AP001046.1	0.807942083940038	2.29493562060177e-19	1.3012284968812e-16	MEblue
CXCL2	0.82035550271639	2.24698435096099e-20	1.28527504874969e-17	MEblue
PRSS56	0.875140907773652	5.46416466851681e-26	3.2183929897564e-23	MEblue
RPL10P6	0.303629374807199	0.00652344589885576	1	MEblue
AC012414.3	0.199914844941815	0.0773223174797383	1	MEblue
RPL10P9	0.375491362701442	0.000649799518424857	0.283312590033237	MEblue
AC009041.1	0.706410013241014	3.51655836068869e-13	1.9270739816574e-10	MEblue
NSFP1	-0.221295589897858	0.0500027461445155	1	MEblue
