Gene	DME	DR	severity_score
USP9Y	0.000894967440559276	0.40651346818298	0.499313177212522
KDM5D	0.00077453437284987	0.409492520914712	0.479626908146586
UTY	0.0010907779787675	0.376322053418904	0.534262299271362
DDX3Y	0.000797345955012158	0.376246714652542	0.521984694490889
TXLNGY	0.000804157054293841	0.40320375383939	0.496349617223837
RPS4Y1	0.000984691090839317	0.395345756284177	0.514942334047388
XIST	0.00263477866060773	0.526034427356343	0.347931318151579
ZFY	0.00137533632375747	0.393147234898188	0.517398286090777
EIF1AY	0.000993667065839737	0.382166461413697	0.531387097003782
NLGN4Y	0.000691384667262042	0.54323304120873	0.596717135440129
TTTY14	0.0015117121792106	0.395930580367133	0.506304913841886
PCDH11Y	0.0011422239733388	0.452732248104812	0.369605957848671
TTTY10	0.00124507989675031	0.408860279636906	0.490108750974999
AC010889.1	0.000714065256805591	0.383887505206002	0.514531151943709
GYG2P1	0.00121912690729701	0.433996116598961	0.466185801482583
ANOS2P	0.00170322251626068	0.324412686404376	0.571549574906474
FOXG1	0.76408084015773	0.786340056415707	0.73827312837318
AP000350.6	0.000299720132267328	0.0278962204864964	0.000683547003357215
MAPK8IP1P2	0.752742738224753	0.413426399905868	0.875972786065798
AL591846.1	0.0465305712692103	0.000189899399562916	0.000709056967828689
PSPHP1	0.48026077758575	0.158442560737277	0.724153914504989
GSTM1	0.261336895150679	0.167575555403703	0.827100750267043
AC104135.1	0.150998146678182	0.75984290003476	0.318403886118775
PRKY	0.00162820538165338	0.460771925657474	0.407947667834698
AC017099.1	0.00023299594663279	0.0344837081315686	0.0171546646582052
RASSF6	0.65851373686505	0.649786242197423	0.637683791591717
SIK1	0.534123001273272	0.47033444190931	0.422458032528984
CYP4F24P	0.127793233361037	0.00265748863973256	0.000509506877810722
TMSB4Y	0.000863619047531	0.408848182152092	0.472099815114947
SDS	0.942148048984859	0.573026679624741	0.961972324326083
AGKP1	0.00187486591240137	0.406143465987667	0.474870126573893
TBX5	0.0978867398111639	0.899176219897365	0.466536433489083
GAPDHP36	0.537840474284483	0.801094260327123	0.817263904911187
