ID	Term	Ontology	Count	Size	numInt	numTotal	p_value	fdr	Enrichment_Score	Fold_Enrichment	GeneRatio	Genes
GO:0051707	response_to_other_organism	Biological Process	35	1306	132	17313	2.86678138609113e-11	2.93011461320922e-08	10.5426054240519	3.51498329388835	0.265151515151515	C3//CARD16//CCL5//CCR5//CD209//CD300LB//CXCL10//FCGR2B//HAMP//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IFI30//IGHA1//IGHG1//IGKC//IL10//IL12RB1//KRT8//LILRA4//LTF//LYZ//PDCD1LG2//PTGIR//RNASE2//SELP//SIGLEC10//SIGLEC14//SIGLEC16//SLAMF8//SLPI//TLR8//TSPAN32//VNN1
GO:0043207	response_to_external_biotic_stimulus	Biological Process	35	1308	132	17313	2.99143911506812e-11	2.93011461320922e-08	10.5241198319525	3.50960870169586	0.265151515151515	C3//CARD16//CCL5//CCR5//CD209//CD300LB//CXCL10//FCGR2B//HAMP//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IFI30//IGHA1//IGHG1//IGKC//IL10//IL12RB1//KRT8//LILRA4//LTF//LYZ//PDCD1LG2//PTGIR//RNASE2//SELP//SIGLEC10//SIGLEC14//SIGLEC16//SLAMF8//SLPI//TLR8//TSPAN32//VNN1
GO:0098542	defense_response_to_other_organism	Biological Process	29	943	132	17313	8.50906145280865e-11	5.55641712868405e-08	10.0701183398384	4.03352453485009	0.21969696969697	C3//CCL5//CD209//CD300LB//CXCL10//HAMP//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IFI30//IGHA1//IGHG1//IGKC//IL10//IL12RB1//LILRA4//LTF//LYZ//RNASE2//SELP//SIGLEC10//SIGLEC14//SIGLEC16//SLAMF8//SLPI//TLR8//TSPAN32//VNN1
GO:0019221	cytokine-mediated_signaling_pathway	Biological Process	22	665	132	17313	6.02581289153202e-09	2.95114186362781e-06	8.21998435779986	4.3390977443609	0.166666666666667	CCL5//CCR2//CCR5//CCRL2//CXCL10//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IFI30//IGHG1//IL10//IL12RB1//IL7R//KRT8//PLVAP//RHEX//TNFRSF11B//TNFRSF8//TNFRSF9//TNFSF14//TNFSF15
GO:0007166	cell_surface_receptor_signaling_pathway	Biological Process	44	2417	132	17313	1.20178799997868e-08	4.70860538391645e-06	7.92017213679229	2.38767066611502	0.333333333333333	ADGRE1//ADGRG5//ATP6V1C2//BMP5//C3//CCL5//CCR2//CCR5//CCRL2//CD209//CD38//CXCL10//FCER1A//FCGR2B//FST//GRHL3//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IFI30//IGHA1//IGHG1//IGKC//IL10//IL12RB1//IL7R//KRT8//LAX1//LEFTY2//LILRA4//MYOC//PDCD1LG2//PIGR//PLVAP//RHEX//TNFRSF11B//TNFRSF8//TNFRSF9//TNFSF14//TNFSF15//TP63//TSPAN32//WFIKKN2
GO:0006954	inflammatory_response	Biological Process	17	495	132	17313	2.24914888783384e-07	7.34347111877748e-05	6.64798179444235	4.5044536271809	0.128787878787879	C3//CCL5//CCR2//CCR5//CCRL2//CXCL10//FCGR2B//FOLR2//HAMP//IL10//LYZ//PTGDR//PTGIR//SELP//SLAMF8//TLR8//VNN1
GO:0045087	innate_immune_response	Biological Process	21	760	132	17313	2.92968862789616e-07	8.19894288864083e-05	6.53317853472178	3.62413277511962	0.159090909090909	C3//CCL5//CD209//CD300LB//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IFI30//IGHA1//IGHG1//IGKC//IL12RB1//LILRA4//LTF//SIGLEC10//SIGLEC14//SIGLEC16//SLPI//TLR8//VNN1
GO:0051249	regulation_of_lymphocyte_activation	Biological Process	17	512	132	17313	3.61531313380144e-07	8.85299803639627e-05	6.44185408111011	4.35489169034091	0.128787878787879	CCL5//CCR2//CD209//CD38//FCGR2B//IGHA1//IGHG1//IGKC//IL10//IL12RB1//IL7R//LAX1//MZB1//PDCD1LG2//SLAMF8//TNFSF14//VNN1
GO:0071345	cellular_response_to_cytokine_stimulus	Biological Process	24	996	132	17313	4.58957266444919e-07	9.98996983295106e-05	6.33822774978115	3.16046002190581	0.181818181818182	CCL5//CCR2//CCR5//CCRL2//CXCL10//HAMP//HAS2//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IFI30//IGHG1//IL10//IL12RB1//IL7R//KRT8//PLVAP//RHEX//TNFRSF11B//TNFRSF8//TNFRSF9//TNFSF14//TNFSF15
GO:0034097	response_to_cytokine	Biological Process	25	1084	132	17313	5.74785254127928e-07	0.000112600431283661	6.24049438203576	3.02488678295874	0.189393939393939	CCL5//CCR2//CCR5//CCRL2//CD38//CXCL10//HAMP//HAS2//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IFI30//IGHG1//IL10//IL12RB1//IL7R//KRT8//PLVAP//RHEX//TNFRSF11B//TNFRSF8//TNFRSF9//TNFSF14//TNFSF15
