ID	Term	Ontology	Count	Size	numInt	numTotal	p_value	fdr	Enrichment_Score	Fold_Enrichment	GeneRatio	Genes
GO:0016021	integral_component_of_membrane	Cellular Component	79	5413	132	17615	3.93711560504991e-12	8.74039664321079e-10	11.4048218328861	1.94759109663045	0.598484848484849	ABCC3//ADGRE1//ADGRG5//ALDH3A1//BEST2//C16orf54//CCR2//CCR5//CCRL2//CD209//CD300C//CD300LB//CD38//CD69//CH25H//CLEC12A//CLEC17A//CNTNAP3C//COL13A1//CTAGE15//CWH43//DLK1//ENTPD8//FCER1A//FCGR2B//FMO3//GAPT//GPA33//GPR141//HAS2//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IL12RB1//IL7R//LAX1//LILRA4//LILRA6//LPAR3//LRRC8E//LYVE1//MFRP//MILR1//MLANA//MS4A4E//OPN5//OR5P2//OR5P3//PDCD1LG2//PIGR//PLVAP//PMEL//PTGDR//PTGIR//RHEX//SCNN1A//SCNN1B//SELP//SIGLEC10//SIGLEC11//SIGLEC14//SIGLEC16//SIGLEC7//SLAMF8//SLC16A12//SLC34A2//TACSTD2//TLR8//TMC5//TMEM92//TNFRSF8//TNFRSF9//TNFSF14//TNFSF15//TSPAN1//TSPAN32//TYR//VNN1
GO:0005886	plasma_membrane	Cellular Component	81	5746	132	17615	1.03326982776713e-11	1.14692950882152e-09	10.9857862521414	1.88117030028795	0.613636363636364	ABCC3//ADGRE1//ADGRG5//ALDH3A1//BEST2//C3//CCR2//CCR5//CCRL2//CD209//CD300C//CD300LB//CD38//CD48//CD69//CLEC12A//COL13A1//CSTA//CXCL10//ENTPD8//F5//FCER1A//FCGR2B//FOLR2//GAPT//GPA33//GPR141//HAS2//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IGHA1//IGHG1//IGKC//IL12RB1//IL7R//KRT8//LAX1//LILRA4//LPAR3//LRRC8E//LYVE1//MFRP//MILR1//MLANA//MYOT//OPN5//OR5P2//OR5P3//PDCD1LG2//PIGR//PLVAP//PMEL//PTGDR//PTGIR//RGS18//RHEX//SCNN1A//SCNN1B//SELP//SIGLEC10//SIGLEC14//SIGLEC16//SIGLEC7//SLC16A12//SLC34A2//SNX20//SRPX2//TACSTD2//TLR8//TMC5//TNFRSF11B//TNFRSF8//TNFRSF9//TNFSF14//TNFSF15//TSPAN1//TSPAN32//VNN1//VNN2
GO:0009897	external_side_of_plasma_membrane	Cellular Component	20	419	132	17615	4.32706519589559e-11	3.20202824496274e-09	10.3638065612366	6.3697837564186	0.151515151515152	ADGRE1//CCR2//CCR5//CCRL2//CD209//CD69//CXCL10//FCGR2B//FOLR2//HLA-C//IGHA1//IGHG1//IGKC//IL12RB1//IL7R//PDCD1LG2//SCNN1B//SELP//TLR8//TNFRSF9
GO:0031226	intrinsic_component_of_plasma_membrane	Cellular Component	37	1756	132	17615	3.75170899100115e-09	2.08219849000564e-07	8.42577085592833	2.81180972596121	0.28030303030303	ADGRE1//ADGRG5//CCR2//CCR5//CCRL2//CD300C//CD48//CD69//COL13A1//FCER1A//FCGR2B//FOLR2//GPA33//HAS2//HLA-DQA1//IL12RB1//LILRA4//LPAR3//LRRC8E//LYVE1//MILR1//MLANA//OPN5//PIGR//PMEL//PTGIR//SCNN1A//SCNN1B//SELP//SIGLEC7//SLC16A12//SLC34A2//TMC5//TNFRSF9//TNFSF15//TSPAN1//TSPAN32
GO:0005887	integral_component_of_plasma_membrane	Cellular Component	35	1681	132	17615	1.5386241221565e-08	6.83149110237485e-07	7.8128674630868	2.77849133812846	0.265151515151515	ADGRE1//ADGRG5//CCR2//CCR5//CCRL2//CD300C//CD69//COL13A1//FCER1A//FCGR2B//GPA33//HAS2//HLA-DQA1//IL12RB1//LILRA4//LPAR3//LRRC8E//LYVE1//MILR1//MLANA//OPN5//PIGR//PMEL//PTGIR//SCNN1A//SCNN1B//SELP//SIGLEC7//SLC16A12//SLC34A2//TMC5//TNFRSF9//TNFSF15//TSPAN1//TSPAN32
GO:0031982	vesicle	Cellular Component	49	3852	132	17615	4.53326066126715e-05	0.00167730644466885	4.3435893084076	1.69753414204349	0.371212121212121	ATP6V1C2//BMP5//C3//CCR5//CD38//CD48//CHMP4C//CLEC12A//DDTL//F5//FCGBP//GPA33//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//HPD//IGHA1//IGHG1//IGKC//IL7R//KRT8//LEFTY2//LTF//LYVE1//LYZ//MLANA//MXRA5//MYOC//NME8//PIGR//PLVAP//PMEL//RNASE2//SCNN1A//SCNN1B//SELP//SIGLEC14//SLC34A2//SLPI//SNX20//TACSTD2//TLR8//TMC5//TNFRSF8//TNXA//TSPAN1//TYR//VNN1
GO:0071556	integral_component_of_lumenal_side_of_endoplasmic_reticulum_membrane	Cellular Component	4	29	132	17615	6.18748888236025e-05	0.00196231790269139	4.20848556839517	18.4064785788924	0.0303030303030303	HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1
GO:0098576	lumenal_side_of_membrane	Cellular Component	4	35	132	17615	0.000131740995630951	0.0036558126287589	3.88027905870691	15.2510822510823	0.0303030303030303	HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1
GO:0042613	MHC_class_II_protein_complex	Cellular Component	3	16	132	17615	0.000214468268296162	0.00529021728463866	3.66863695486996	25.0213068181818	0.0227272727272727	HLA-DQA1//HLA-DQB1//HLA-DRB1
GO:1903561	extracellular_vesicle	Cellular Component	30	2115	132	17615	0.000383740099825046	0.00851903021611602	3.41596281580613	1.89286481839673	0.227272727272727	ATP6V1C2//C3//CD38//CD48//DDTL//F5//FCGBP//GPA33//HLA-DRB1//HPD//IGHA1//IGHG1//IGKC//KRT8//LTF//LYVE1//LYZ//MXRA5//MYOC//PIGR//PLVAP//RNASE2//SCNN1A//SCNN1B//SLPI//TACSTD2//TMC5//TNFRSF8//TNXA//TSPAN1
GO:0005764	lysosome	Cellular Component	14	694	132	17615	0.000713718458717487	0.0134253541759515	3.146473071051	2.69201379792158	0.106060606060606	ATP6V1C2//C3//HLA-DQA1//HLA-DQB1//HLA-DRB1//IFI30//LYZ//MILR1//PIGR//RNASE2//TLR8//TSPAN1//TYR//VNN1
GO:0070062	extracellular_exosome	Cellular Component	29	2094	132	17615	0.000725694820321704	0.0134253541759515	3.13924597670312	1.84811944661515	0.21969696969697	ATP6V1C2//C3//CD38//CD48//DDTL//FCGBP//GPA33//HLA-DRB1//HPD//IGHA1//IGHG1//IGKC//KRT8//LTF//LYVE1//LYZ//MXRA5//MYOC//PIGR//PLVAP//RNASE2//SCNN1A//SCNN1B//SLPI//TACSTD2//TMC5//TNFRSF8//TNXA//TSPAN1
GO:0030134	COPII-coated_ER_to_Golgi_transport_vesicle	Cellular Component	5	98	132	17615	0.000851875125037461	0.0145474059814089	3.0696240630759	6.80851886209029	0.0378787878787879	F5//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1
GO:0012507	ER_to_Golgi_transport_vesicle_membrane	Cellular Component	4	62	132	17615	0.00120080347199113	0.0190413121987165	2.92052806504826	8.60948191593353	0.0303030303030303	HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1
GO:0005773	vacuole	Cellular Component	14	793	132	17615	0.00250575233376667	0.0370851345397467	2.60106185648388	2.35593641331346	0.106060606060606	ATP6V1C2//C3//HLA-DQA1//HLA-DQB1//HLA-DRB1//IFI30//LYZ//MILR1//PIGR//RNASE2//TLR8//TSPAN1//TYR//VNN1
GO:0005798	Golgi-associated_vesicle	Cellular Component	6	185	132	17615	0.00271756081517073	0.0377061563104938	2.56582072823614	4.32800982800983	0.0454545454545455	F5//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//TYR
GO:0030669	clathrin-coated_endocytic_vesicle_membrane	Cellular Component	3	40	132	17615	0.00331879875749873	0.0433396073038069	2.47901908117307	10.0085227272727	0.0227272727272727	HLA-DQA1//HLA-DQB1//HLA-DRB1
GO:0030141	secretory_granule	Cellular Component	14	835	132	17615	0.00397786684272558	0.0490603577269488	2.40034975877755	2.23743422246416	0.106060606060606	C3//CD38//CLEC12A//F5//LEFTY2//LTF//LYZ//PIGR//RNASE2//SCNN1A//SELP//SIGLEC14//SLPI//VNN1
GO:0097708	intracellular_vesicle	Cellular Component	29	2354	132	17615	0.00432951886954415	0.0505870099494106	2.36356036321057	1.64399410416828	0.21969696969697	C3//CCR5//CD38//CHMP4C//CLEC12A//F5//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IL7R//LEFTY2//LTF//LYZ//MLANA//MYOC//NME8//PIGR//PMEL//RNASE2//SCNN1A//SCNN1B//SELP//SIGLEC14//SLPI//SNX20//TLR8//TYR//VNN1
GO:0030659	cytoplasmic_vesicle_membrane	Cellular Component	13	781	132	17615	0.005817830728676	0.0594136490815455	2.23523891881797	2.2212683816397	0.0984848484848485	CD38//CLEC12A//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IL7R//PIGR//SCNN1B//SELP//SIGLEC14//TYR//VNN1
GO:0005765	lysosomal_membrane	Cellular Component	8	364	132	17615	0.0061664285244834	0.0594136490815455	2.20996629807337	2.93290043290043	0.0606060606060606	ATP6V1C2//HLA-DQA1//HLA-DQB1//HLA-DRB1//PIGR//TLR8//TSPAN1//VNN1
GO:0042582	azurophil_granule	Cellular Component	5	156	132	17615	0.00641980418587457	0.0594136490815455	2.19247821839393	4.27714646464646	0.0378787878787879	C3//LYZ//PIGR//RNASE2//VNN1
