ID	Term	Ontology	Count	Size	numInt	numTotal	p_value	fdr	Enrichment_Score	Fold_Enrichment	GeneRatio	Genes
GO:0042605	peptide_antigen_binding	Molecular Function	5	33	105	14821	3.2866979422729e-06	0.000724067212046075	5.48324020709329	21.3867243867244	0.0476190476190476	CD209//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1
GO:0005126	cytokine_receptor_binding	Molecular Function	11	281	105	14821	4.81107782090416e-06	0.000724067212046075	5.31775761817208	5.52553804439925	0.104761904761905	BMP5//CCL5//CCR2//CCRL2//CXCL10//IL10//IL12RB1//LEFTY2//RHEX//TNFSF14//TNFSF15
GO:0017159	pantetheine_hydrolase_activity	Molecular Function	2	3	105	14821	0.000148457149985417	0.0122779665893767	3.82839888109633	94.1015873015873	0.019047619047619	VNN1//VNN2
GO:0005125	cytokine_activity	Molecular Function	8	219	105	14821	0.00016316234670268	0.0122779665893767	3.78738005701579	5.15625135899108	0.0761904761904762	BMP5//CCL5//CXCL10//IL10//LEFTY2//TNFRSF11B//TNFSF14//TNFSF15
GO:0004866	endopeptidase_inhibitor_activity	Molecular Function	7	181	105	14821	0.000300068833639178	0.0163893908694097	3.52277910981147	5.45893186003683	0.0666666666666667	C3//CARD16//CSTA//LTF//SLPI//TNFSF14//WFIKKN2
GO:0030414	peptidase_inhibitor_activity	Molecular Function	7	188	105	14821	0.000377559090092491	0.0163893908694097	3.42301506921933	5.25567375886525	0.0666666666666667	C3//CARD16//CSTA//LTF//SLPI//TNFSF14//WFIKKN2
GO:0061135	endopeptidase_regulator_activity	Molecular Function	7	189	105	14821	0.000389829008307558	0.0163893908694097	3.40912584690347	5.22786596119929	0.0666666666666667	C3//CARD16//CSTA//LTF//SLPI//TNFSF14//WFIKKN2
GO:0019763	immunoglobulin_receptor_activity	Molecular Function	2	5	105	14821	0.000490285401571678	0.0163893908694097	3.30955103783938	56.4609523809524	0.019047619047619	FCGR2B//PIGR
GO:0042806	fucose_binding	Molecular Function	2	5	105	14821	0.000490285401571678	0.0163893908694097	3.30955103783938	56.4609523809524	0.019047619047619	CLEC17A//SELP
GO:0016493	C-C_chemokine_receptor_activity	Molecular Function	3	23	105	14821	0.000551952690779648	0.0163893908694097	3.25809814512197	18.4111801242236	0.0285714285714286	CCR2//CCR5//CCRL2
GO:0019957	C-C_chemokine_binding	Molecular Function	3	24	105	14821	0.000627565789853	0.0163893908694097	3.20234073889487	17.6440476190476	0.0285714285714286	CCR2//CCR5//CCRL2
GO:0004896	cytokine_receptor_activity	Molecular Function	5	98	105	14821	0.000653397642634273	0.0163893908694097	3.18482243673045	7.20165208940719	0.0476190476190476	CCR2//CCR5//CCRL2//IL12RB1//IL7R
GO:0004950	chemokine_receptor_activity	Molecular Function	3	26	105	14821	0.000797912118477976	0.017254937276496	3.09804493892723	16.2868131868132	0.0285714285714286	CCR2//CCR5//CCRL2
