ID	Term	WebSite	Count	Size	numInt	numTotal	p_value	fdr	Enrichment_Score	GeneRatio	Genes
hsa04060	Cytokine-cytokine_receptor_interaction	http://www.genome.jp/kegg-bin/show_pathway?hsa04060+653+6352+729230+1234+3627+3586+3594+3575+4982+943+3604+8740+9966	13	295	63	8088	3.15308037147348e-07	3.84675805319764e-05	6.50126495901976	0.206349206349206	BMP5//CCL5//CCR2//CCR5//CXCL10//IL10//IL12RB1//IL7R//TNFRSF11B//TNFRSF8//TNFRSF9//TNFSF14//TNFSF15
hsa05310	Asthma	http://www.genome.jp/kegg-bin/show_pathway?hsa05310+2205+3117+3119+3123+3586	5	31	63	8088	3.54775404472968e-06	0.000216412996728511	5.45004649614563	0.0793650793650794	FCER1A//HLA-DQA1//HLA-DQB1//HLA-DRB1//IL10
hsa05150	Staphylococcus_aureus_infection	http://www.genome.jp/kegg-bin/show_pathway?hsa05150+718+2213+3117+3119+3123+3586+6403	7	95	63	8088	7.98799702605699e-06	0.000306541636236594	5.09756210548978	0.111111111111111	C3//FCGR2B//HLA-DQA1//HLA-DQB1//HLA-DRB1//IL10//SELP
hsa05330	Allograft_rejection	http://www.genome.jp/kegg-bin/show_pathway?hsa05330+3107+3117+3119+3123+3586	5	38	63	8088	1.00505454503801e-05	0.000306541636236594	4.99781036812786	0.0793650793650794	HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IL10
hsa04145	Phagosome	http://www.genome.jp/kegg-bin/show_pathway?hsa04145+245973+718+30835+2213+3107+3117+3119+3123	8	152	63	8088	2.08850812671001e-05	0.000509595982917242	4.68016383048818	0.126984126984127	ATP6V1C2//C3//CD209//FCGR2B//HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1
hsa04672	Intestinal_immune_network_for_IgA_production	http://www.genome.jp/kegg-bin/show_pathway?hsa04672+3117+3119+3123+3586+5284	5	48	63	8088	3.22953170474105e-05	0.00065667144663068	4.49086044757338	0.0793650793650794	HLA-DQA1//HLA-DQB1//HLA-DRB1//IL10//PIGR
hsa05320	Autoimmune_thyroid_disease	http://www.genome.jp/kegg-bin/show_pathway?hsa05320+3107+3117+3119+3123+3586	5	53	63	8088	5.2530532501457e-05	0.000915532137882536	4.27958819673597	0.0793650793650794	HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1//IL10
hsa04061	Viral_protein_interaction_with_cytokine_and_cytokine_receptor	http://www.genome.jp/kegg-bin/show_pathway?hsa04061+6352+729230+1234+3627+3586+8740	6	100	63	8088	0.000118112770615271	0.00180121975188288	3.92770314296313	0.0952380952380952	CCL5//CCR2//CCR5//CXCL10//IL10//TNFSF14
hsa05321	Inflammatory_bowel_disease	http://www.genome.jp/kegg-bin/show_pathway?hsa05321+3117+3119+3123+3586+3594	5	65	63	8088	0.000140740301180829	0.00190781297156234	3.85158152392798	0.0793650793650794	HLA-DQA1//HLA-DQB1//HLA-DRB1//IL10//IL12RB1
hsa05332	Graft-versus-host_disease	http://www.genome.jp/kegg-bin/show_pathway?hsa05332+3107+3117+3119+3123	4	42	63	8088	0.000299737614328932	0.00312377062517398	3.52325875364941	0.0634920634920635	HLA-C//HLA-DQA1//HLA-DQB1//HLA-DRB1
