Sample	Group	Predictor	Probability
sample_01	0	0	0.118727199170233
sample_02	0	0	0.116579847546348
sample_03	0	0	0.0420548758481825
sample_04	0	0	0.11597692800889
sample_05	0	0	0.488080713967939
sample_06	0	1	0.503796487022945
sample_07	0	0	0.2253031708287
sample_08	0	0	0.277711684828402
sample_09	0	0	0.269887973632529
sample_10	0	0	0.425552905111168
sample_11	0	0	0.0747924008485853
sample_12	0	1	0.731855718321652
sample_13	0	0	0.211882930558421
sample_14	0	0	0.475392921697504
sample_15	0	1	0.515225996202521
sample_16	0	0	0.472656800492124
sample_17	0	0	0.179725935638706
sample_18	0	0	0.469346034371002
sample_19	0	0	0.397695144547369
sample_20	0	0	0.429705414804374
sample_21	0	1	0.576784334405614
sample_22	0	1	0.773543866028376
sample_23	0	0	0.450780056355202
sample_24	0	0	0.493507393829379
sample_25	0	0	0.258945551618825
sample_26	0	0	0.321108648198953
sample_27	0	0	0.44580418621284
sample_28	0	1	0.786359982183292
sample_29	0	0	0.337382547238926
sample_30	0	0	0.119353960371662
sample_31	0	0	0.000454335425690212
sample_32	0	1	0.504315036873462
sample_33	0	0	0.319198905712898
sample_34	0	0	0.0166914037614486
sample_35	0	0	0.17957926523891
sample_36	0	0	0.295113365719037
sample_37	0	0	0.294736888400773
sample_38	0	1	0.774337174143484
sample_39	0	0	0.371738131881327
sample_40	0	0	0.190143590161952
sample_41	1	1	0.771176289856405
sample_42	1	0	0.457785700401323
sample_43	1	0	0.0215382113222995
sample_44	1	0	0.386290427060837
sample_46	1	1	0.640544093500925
sample_47	1	1	0.67877268696735
sample_48	1	1	0.519968899284661
sample_49	1	1	0.760757516149642
sample_50	1	1	0.611263993758823
sample_51	1	1	0.900052716205642
sample_52	1	1	0.792893948384037
sample_53	1	0	0.000458143552552998
sample_54	1	1	0.506813198153628
sample_55	1	0	0.288418837420583
sample_56	1	1	0.621630982911076
sample_57	1	1	0.55047504803569
sample_58	1	1	0.520486087633631
sample_59	1	1	0.726580701365247
sample_60	1	1	0.506816982140069
sample_61	1	1	0.796785970609353
sample_62	1	1	0.537050669660804
sample_63	1	1	0.605715590758001
sample_64	1	1	0.621929946602683
sample_65	1	1	0.732559694177358
sample_66	1	1	0.540507183473347
sample_67	1	1	0.674007227283842
sample_68	1	1	0.725542847687928
sample_69	1	1	0.623186993691418
sample_70	1	1	0.86292229292542
sample_71	1	0	0.474327786664302
sample_72	1	1	0.734256978310738
sample_73	1	1	0.923748002545434
sample_74	1	1	0.656534723275777
sample_75	1	1	0.999031516471234
sample_76	1	1	0.99637536486681
sample_77	1	0	0.0948063635083297
sample_78	1	1	0.871927816898011
sample_79	1	1	0.742881647864949
sample_80	1	1	0.743376162455305
