Sample	Group	Predictor
sample_03	0	0
sample_06	0	1
sample_07	0	0
sample_11	0	0
sample_13	0	0
sample_15	0	1
sample_16	0	0
sample_21	0	1
sample_23	0	0
sample_24	0	0
sample_25	0	0
sample_26	0	0
sample_29	0	0
sample_32	0	1
sample_35	0	0
sample_36	0	0
sample_37	0	0
sample_38	0	1
sample_39	0	0
sample_40	0	0
sample_41	1	1
sample_42	1	0
sample_47	1	1
sample_48	1	1
sample_49	1	1
sample_56	1	1
sample_57	1	1
sample_60	1	1
sample_62	1	1
sample_63	1	1
sample_64	1	1
sample_65	1	1
sample_66	1	1
sample_68	1	1
sample_71	1	0
sample_72	1	1
sample_73	1	1
sample_74	1	1
sample_79	1	1
sample_80	1	1
