miRNA	Target_Gene	miRMap_score
hsa-let-7a-2-3p	LTF	75.8719
hsa-let-7g-3p	LTF	79.8686
hsa-miR-101-5p	LTF	53.8264
hsa-miR-10a-3p	LTF	63.6043
hsa-miR-1183	LTF	54.939
hsa-miR-1224-3p	LTF	88.9255
hsa-miR-1228-3p	LTF	69.335
hsa-miR-1236-3p	LTF	82.395
hsa-miR-1236-5p	LTF	93.3601
hsa-miR-1237-5p	LTF	53.5793
hsa-miR-1238-5p	LTF	68.2804
hsa-miR-1245b-3p	LTF	64.1602
hsa-miR-1250	LTF	95.244
hsa-miR-1254	LTF	65.2425
hsa-miR-1257	LTF	53.4503
hsa-miR-1273e	LTF	58.1865
hsa-miR-146b-3p	LTF	50.6847
hsa-miR-151a-3p	LTF	61.2493
hsa-miR-16-1-3p	LTF	65.5227
hsa-miR-185-3p	LTF	88.4974
hsa-miR-185-5p	LTF	94.5695
hsa-miR-18a-3p	LTF	86.3312
hsa-miR-1909-3p	LTF	96.4318
hsa-miR-1914-3p	LTF	70.4591
hsa-miR-1915-3p	LTF	56.3349
hsa-miR-196b-3p	LTF	91.8161
hsa-miR-202-5p	LTF	81.9811
hsa-miR-2053	LTF	66.7022
hsa-miR-205-3p	LTF	92.6994
hsa-miR-208a	LTF	84.8051
hsa-miR-208b	LTF	84.449
hsa-miR-2110	LTF	76.4783
hsa-miR-211-3p	LTF	64.3007
hsa-miR-212-5p	LTF	72.2539
hsa-miR-214-3p	LTF	97.8778
hsa-miR-219-2-3p	LTF	61.6303
hsa-miR-221-5p	LTF	58.9812
hsa-miR-222-5p	LTF	70.9086
hsa-miR-2276	LTF	97.0141
hsa-miR-2277-3p	LTF	82.8742
hsa-miR-2681-5p	LTF	59.8434
hsa-miR-3065-5p	LTF	80.4451
hsa-miR-3074-3p	LTF	55.0207
hsa-miR-3074-5p	LTF	78.2944
hsa-miR-30a-3p	LTF	96.9761
hsa-miR-30d-3p	LTF	97.3729
hsa-miR-30e-3p	LTF	96.691
hsa-miR-3116	LTF	55.2476
hsa-miR-3117-5p	LTF	60.4274
hsa-miR-3123	LTF	83.9608
hsa-miR-3127-3p	LTF	58.9928
hsa-miR-3134	LTF	73.6545
hsa-miR-31-3p	LTF	56.8884
hsa-miR-3144-3p	LTF	70.2343
hsa-miR-3150a-3p	LTF	98.2957
hsa-miR-3150b-3p	LTF	58.3714
hsa-miR-3156-5p	LTF	51.5595
hsa-miR-3160-3p	LTF	53.9318
hsa-miR-3160-5p	LTF	71.2916
hsa-miR-3173-3p	LTF	66.837
hsa-miR-3173-5p	LTF	86.4966
hsa-miR-3175	LTF	93.3854
hsa-miR-3176	LTF	89.0
hsa-miR-3180-5p	LTF	78.9487
hsa-miR-3184-5p	LTF	94.3211
hsa-miR-3188	LTF	88.7246
hsa-miR-3189-3p	LTF	95.2834
hsa-miR-3189-5p	LTF	68.21
hsa-miR-3190-5p	LTF	51.027
hsa-miR-3202	LTF	90.6573
hsa-miR-324-3p	LTF	56.7631
hsa-miR-329	LTF	79.0629
hsa-miR-337-3p	LTF	64.4762
hsa-miR-34a-5p	LTF	88.253
hsa-miR-34c-5p	LTF	89.7043
hsa-miR-3606-3p	LTF	71.587
hsa-miR-3607-5p	LTF	85.6353
hsa-miR-3619-5p	LTF	98.529
hsa-miR-3622b-5p	LTF	75.5882
hsa-miR-362-3p	LTF	77.3299
hsa-miR-3652	LTF	84.1214
hsa-miR-3661	LTF	59.4607
hsa-miR-3664-5p	LTF	67.3638
hsa-miR-3682-5p	LTF	86.2291
hsa-miR-378a-3p	LTF	50.2156
hsa-miR-378b	LTF	51.5698
hsa-miR-378c	LTF	54.9856
hsa-miR-378d	LTF	50.7942
hsa-miR-378e	LTF	51.1089
hsa-miR-378f	LTF	50.705
hsa-miR-378g	LTF	58.3416
hsa-miR-384	LTF	53.547
hsa-miR-3907	LTF	59.9836
hsa-miR-3922-3p	LTF	88.764
hsa-miR-3922-5p	LTF	66.1605
hsa-miR-3974	LTF	54.0488
hsa-miR-421	LTF	65.3641
hsa-miR-423-5p	LTF	91.5745
hsa-miR-4260	LTF	59.152
hsa-miR-4269	LTF	91.8612
hsa-miR-4270	LTF	60.9438
hsa-miR-4286	LTF	60.8014
hsa-miR-4300	LTF	91.9593
hsa-miR-4306	LTF	94.7572
hsa-miR-432-3p	LTF	80.3168
hsa-miR-432-5p	LTF	51.7478
hsa-miR-4327	LTF	54.05
hsa-miR-4329	LTF	73.9519
hsa-miR-4426	LTF	54.9746
hsa-miR-4428	LTF	89.3377
hsa-miR-4430	LTF	81.1759
hsa-miR-4434	LTF	57.8846
hsa-miR-4441	LTF	56.5387
hsa-miR-4462	LTF	53.0966
hsa-miR-4486	LTF	60.2846
hsa-miR-4487	LTF	96.5724
hsa-miR-4488	LTF	58.0845
hsa-miR-4492	LTF	88.5679
hsa-miR-4498	LTF	91.4147
hsa-miR-4499	LTF	52.4128
hsa-miR-449a	LTF	85.0899
hsa-miR-449b-5p	LTF	84.7606
hsa-miR-4501	LTF	65.6813
hsa-miR-4504	LTF	70.6397
hsa-miR-450a-3p	LTF	96.3741
hsa-miR-4514	LTF	73.7375
hsa-miR-4516	LTF	76.9722
hsa-miR-4522	LTF	89.0012
hsa-miR-4524a-3p	LTF	76.4946
hsa-miR-4533	LTF	70.4689
hsa-miR-4534	LTF	52.4388
hsa-miR-4535	LTF	86.8406
hsa-miR-4536-3p	LTF	53.4206
hsa-miR-4539	LTF	69.7588
hsa-miR-4639-5p	LTF	83.7239
hsa-miR-4644	LTF	94.2225
hsa-miR-4645-5p	LTF	83.9784
hsa-miR-4647	LTF	58.2032
hsa-miR-4649-3p	LTF	92.649
hsa-miR-4656	LTF	66.9274
hsa-miR-4658	LTF	72.4291
hsa-miR-4662b	LTF	52.6743
hsa-miR-4663	LTF	57.9787
hsa-miR-4665-5p	LTF	62.273
hsa-miR-4667-5p	LTF	90.8501
hsa-miR-4673	LTF	84.7615
hsa-miR-4675	LTF	62.529
hsa-miR-4678	LTF	86.3259
hsa-miR-4688	LTF	51.9118
hsa-miR-4690-5p	LTF	87.1683
hsa-miR-4692	LTF	82.3605
hsa-miR-4698	LTF	55.7457
hsa-miR-4700-5p	LTF	87.4661
hsa-miR-4714-5p	LTF	61.6627
hsa-miR-4722-3p	LTF	62.9476
hsa-miR-4724-5p	LTF	80.7936
hsa-miR-4725-5p	LTF	51.6556
hsa-miR-4726-3p	LTF	61.277
hsa-miR-4728-5p	LTF	52.8507
hsa-miR-4731-5p	LTF	90.8451
hsa-miR-4741	LTF	65.4464
hsa-miR-4742-5p	LTF	73.8026
hsa-miR-4747-3p	LTF	55.1166
hsa-miR-4747-5p	LTF	90.4381
hsa-miR-4758-5p	LTF	77.8867
hsa-miR-4765	LTF	72.215
hsa-miR-4772-3p	LTF	66.2748
hsa-miR-4777-5p	LTF	79.5774
hsa-miR-4778-3p	LTF	69.9974
hsa-miR-4779	LTF	84.388
hsa-miR-4780	LTF	65.3249
hsa-miR-4784	LTF	73.5239
hsa-miR-486-3p	LTF	90.0778
hsa-miR-492	LTF	89.2682
hsa-miR-493-3p	LTF	84.5143
hsa-miR-493-5p	LTF	62.0364
hsa-miR-499a-5p	LTF	59.0615
hsa-miR-5001-5p	LTF	91.9311
hsa-miR-502-3p	LTF	52.6589
hsa-miR-504	LTF	51.6693
hsa-miR-5095	LTF	59.1098
hsa-miR-513a-3p	LTF	75.7304
hsa-miR-513c-3p	LTF	65.5004
hsa-miR-514a-5p	LTF	71.99
hsa-miR-518d-5p	LTF	76.997
hsa-miR-518e-5p	LTF	76.4917
hsa-miR-518f-5p	LTF	77.5794
hsa-miR-5192	LTF	77.0092
hsa-miR-5194	LTF	61.3462
hsa-miR-5196-5p	LTF	89.2675
hsa-miR-519a-5p	LTF	76.4917
hsa-miR-519b-5p	LTF	76.4917
hsa-miR-519c-5p	LTF	76.4917
hsa-miR-520c-5p	LTF	76.997
hsa-miR-522-5p	LTF	76.4917
hsa-miR-523-5p	LTF	76.4917
hsa-miR-526a	LTF	76.997
hsa-miR-542-3p	LTF	70.8231
hsa-miR-552	LTF	58.3038
hsa-miR-556-5p	LTF	59.629
hsa-miR-5572	LTF	69.2845
hsa-miR-5582-5p	LTF	83.8562
hsa-miR-5584-5p	LTF	54.3732
hsa-miR-5589-5p	LTF	83.412
hsa-miR-5591-5p	LTF	91.1068
hsa-miR-5696	LTF	56.3881
hsa-miR-5703	LTF	64.6814
hsa-miR-5787	LTF	50.0198
hsa-miR-578	LTF	58.9239
hsa-miR-603	LTF	53.3225
hsa-miR-6079	LTF	57.718
hsa-miR-6085	LTF	87.6228
hsa-miR-6089	LTF	66.8484
hsa-miR-6090	LTF	65.5953
hsa-miR-6132	LTF	83.463
hsa-miR-6165	LTF	80.3435
hsa-miR-631	LTF	50.3077
hsa-miR-635	LTF	91.0496
hsa-miR-637	LTF	91.9233
hsa-miR-6508-5p	LTF	86.5867
hsa-miR-650	LTF	53.1529
hsa-miR-6510-5p	LTF	99.2607
hsa-miR-6513-3p	LTF	55.219
hsa-miR-6515-3p	LTF	50.4282
hsa-miR-661	LTF	60.4174
hsa-miR-6715a-3p	LTF	68.26
hsa-miR-6715b-5p	LTF	91.2103
hsa-miR-6722-3p	LTF	96.7361
hsa-miR-761	LTF	98.0831
hsa-miR-762	LTF	91.9581
hsa-miR-874	LTF	86.8731
hsa-miR-890	LTF	78.8634
hsa-miR-891b	LTF	64.3599
hsa-miR-920	LTF	90.2272
hsa-miR-922	LTF	77.427
