miRNA	Target_Gene	miRTarBase_ID	Experiments	Support_Type	References
hsa-miR-214-3p	LTF	MIRT437811	Luciferasereporterassay	FunctionalMTI	23479198
hsa-miR-3664-5p	LTF	MIRT650626	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-4743-3p	LTF	MIRT650627	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-6809-3p	LTF	MIRT650628	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-6833-3p	LTF	MIRT650629	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-4768-5p	LTF	MIRT650630	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-3191-5p	LTF	MIRT650631	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-6873-3p	LTF	MIRT650632	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-6740-3p	LTF	MIRT650633	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-942-5p	LTF	MIRT650634	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-6754-3p	LTF	MIRT650635	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-6837-3p	LTF	MIRT650636	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-412-3p	LTF	MIRT650637	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-6728-3p	LTF	MIRT650638	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-6817-3p	LTF	MIRT650639	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-7110-3p	LTF	MIRT650640	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-6845-3p	LTF	MIRT650641	HITS-CLIP	FunctionalMTI(Weak)	23824327
hsa-miR-4778-5p	LTF	MIRT650642	HITS-CLIP	FunctionalMTI(Weak)	23824327
