Sample	Group
sample_01	Ctrl
sample_10	Ctrl
sample_11	Ctrl
sample_12	Ctrl
sample_13	Ctrl
sample_14	Ctrl
sample_15	Ctrl
sample_16	Ctrl
sample_17	Ctrl
sample_18	Ctrl
sample_19	Ctrl
sample_02	Ctrl
sample_20	Ctrl
sample_21	DM
sample_22	DM
sample_23	DM
sample_24	DM
sample_25	DM
sample_26	DM
sample_27	DM
sample_28	DM
sample_29	DM
sample_03	Ctrl
sample_30	DM
sample_31	DM
sample_32	DM
sample_33	DM
sample_34	DM
sample_35	DM
sample_36	DM
sample_37	DM
sample_38	DM
sample_39	DM
sample_04	Ctrl
sample_40	DM
sample_41	DR
sample_42	DR
sample_43	DR
sample_44	DR
sample_46	DR
sample_47	DR
sample_48	DR
sample_49	DR
sample_05	Ctrl
sample_50	DR
sample_51	DR
sample_52	DR
sample_53	DR
sample_54	DR
sample_55	DR
sample_56	DR
sample_57	DR
sample_58	DR
sample_59	DR
sample_06	Ctrl
sample_60	DR
sample_61	DR
sample_62	DR
sample_63	DR
sample_64	DR
sample_65	DR
sample_66	DR
sample_67	DR
sample_68	DR
sample_69	DR
sample_07	Ctrl
sample_70	DR
sample_71	DR
sample_72	DR
sample_73	DR
sample_74	DR
sample_75	DR
sample_76	DR
sample_77	DR
sample_78	DR
sample_79	DR
sample_08	Ctrl
sample_80	DR
sample_09	Ctrl
