miRNA	Target_Gene	miRBase_Acc	Target_Details	miRNA_details	Target_Score
hsa-miR-11181-3p	DYSF	MIMAT0043997	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=605847	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-11181-3p	77
hsa-miR-1252-5p	DYSF	MIMAT0005944	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=969771	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-1252-5p	74
hsa-miR-1275	DYSF	MIMAT0005929	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=366824	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-1275	79
hsa-miR-185-5p	LTF	MIMAT0000455	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=2661900	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-185-5p	75
hsa-miR-196b-3p	LTF	MIMAT0009201	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=2417517	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-196b-3p	70
hsa-miR-214-3p	LTF	MIMAT0000271	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=727302	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-214-3p	78
hsa-miR-3065-5p	LTF	MIMAT0015066	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=904313	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-3065-5p	92
hsa-miR-3120-5p	DYSF	MIMAT0019198	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=1098176	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-3120-5p	79
hsa-miR-3151-3p	DYSF	MIMAT0027026	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=488118	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-3151-3p	79
hsa-miR-3619-5p	LTF	MIMAT0017999	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=1624582	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-3619-5p	81
hsa-miR-3682-5p	LTF	MIMAT0019222	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=1574436	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-3682-5p	76
hsa-miR-4306	LTF	MIMAT0016858	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=2656077	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-4306	79
hsa-miR-4644	LTF	MIMAT0019704	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=429153	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-4644	75
hsa-miR-4650-5p	DYSF	MIMAT0019713	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=1763720	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-4650-5p	88
hsa-miR-4665-5p	DYSF	MIMAT0019739	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=1778235	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-4665-5p	75
hsa-miR-4723-5p	DYSF	MIMAT0019838	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=1550200	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-4723-5p	87
hsa-miR-4724-5p	DYSF	MIMAT0019841	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=1439654	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-4724-5p	70
hsa-miR-5093	DYSF	MIMAT0021085	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=1327292	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-5093	73
hsa-miR-5698	DYSF	MIMAT0022491	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=1147458	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-5698	87
hsa-miR-6510-5p	LTF	MIMAT0025476	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=489466	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-6510-5p	89
hsa-miR-654-3p	DYSF	MIMAT0004814	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=2484460	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-654-3p	73
hsa-miR-6870-5p	DYSF	MIMAT0027640	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=337137	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-6870-5p	87
hsa-miR-7111-5p	DYSF	MIMAT0028119	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=2574600	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-7111-5p	87
hsa-miR-761	LTF	MIMAT0010364	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=2839278	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-761	78
hsa-miR-765	DYSF	MIMAT0003945	http://www.mirdb.org/cgi-bin/target_detail.cgi?targetID=922420	http://www.mirdb.org/cgi-bin/mature_mir.cgi?name=hsa-miR-765	77
