miRNA	Target_Gene	miRBase_Acc	Link_UTRs	Weighted_Context++_Score
hsa-miR-214-3p	LTF	MIMAT0000271	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-214-3p/3619-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&subset=1	-0.45
hsa-miR-218-1-3p	DYSF	MIMAT0004565	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-218-1-3p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.30
hsa-miR-196b-3p	LTF	MIMAT0009201	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-196b-3p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.44
hsa-miR-492	LTF	MIMAT0002812	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-492&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.48
hsa-miR-608	DYSF	MIMAT0003276	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-608/4651&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.33
hsa-miR-635	LTF	MIMAT0003305	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-635/6774-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.31
hsa-miR-654-3p	DYSF	MIMAT0004814	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-654-3p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&subset=1	-0.44
hsa-miR-761	LTF	MIMAT0010364	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-214-3p/3619-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&subset=1	-0.45
hsa-miR-765	DYSF	MIMAT0003945	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-765&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.40
hsa-miR-939-5p	LTF	MIMAT0004982	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-939-5p/1343-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.54
hsa-miR-1236-5p	LTF	MIMAT0022945	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-1236-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.50
hsa-miR-1250-5p	LTF	MIMAT0005902	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-1250-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.34
hsa-miR-1275	DYSF	MIMAT0005929	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-1275/4665-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.44
hsa-miR-1909-3p	LTF	MIMAT0007883	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-1909-3p/6722-3p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.31
hsa-miR-2110	LTF	MIMAT0010133	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-2110&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.53
hsa-miR-2276-3p	LTF	MIMAT0011775	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-2276-3p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.86
hsa-miR-3150a-3p	LTF	MIMAT0015023	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-3150a-3p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&subset=1	-0.60
hsa-miR-3160-3p	DYSF	MIMAT0015034	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-3160-3p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.43
hsa-miR-3173-5p	LTF	MIMAT0019214	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-3173-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&subset=1	-0.34
hsa-miR-3175	LTF	MIMAT0015052	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-3175&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.47
hsa-miR-3188	LTF	MIMAT0015070	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000231751.4&taxid=9606&members=miR-3188&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.41
hsa-miR-3192-5p	DYSF	MIMAT0015076	http://www.targetscan.org/cgi-bin/targetscan/vert_71/view_gene.cgi?rs=ENST00000258104.3&taxid=9606&members=miR-3192-5p&showcnc=1&shownc=1&shownc_nc=1&showncf1=1&showncf2=1&subset=1	-0.34
